station_id,station_name,location,crs1,lat1,lon1,crs2,lat2,lon2,distance_meters
72N100,臺南農改,臺南市新化區,TWD97,23.062242,120.334096,WGS84,23.0605,120.342194,851.9806380201254
72V140,旗南農改,高雄市旗山區,TWD97,22.859612,120.508583,WGS84,22.857861,120.516667,852.0114132839448
72Q010,高雄農改,屏東縣長治鄉,TWD97,22.711084,120.517814,WGS84,22.709333,120.525889,851.9853422831698
B2E890,新竹畜試,苗栗縣西湖鄉,TWD97,24.529569,120.762788,WGS84,24.527806,120.770972,851.9809893006865
72C440,桃園農改,桃園市新屋區,TWD97,24.952721,121.022375,WGS84,24.950944,121.030583,851.9724139306213
72D080,五峰站,新竹縣五峰鄉,TWD97,24.613978,121.148983,WGS84,24.612194,121.157167,851.9775444503438
82C160,茶改場,桃園市楊梅區,TWD97,24.910258,121.17713,WGS84,24.908472,121.185333,851.9880289127505
A2C560,農工中心,桃園市中壢區,TWD97,24.987706,121.231626,WGS84,24.985917,121.239833,851.9546446220968
82A750,文山茶改,新北市石碇區,TWD97,24.957588,121.623022,WGS84,24.955778,121.631222,852.0076528515344
72U480,蘭陽分場,宜蘭縣三星鄉,TWD97,24.688121,121.708402,WGS84,24.686306,121.716583,852.0105816411794
K2E360,苗栗農改,苗栗縣公館鄉,TWD97,24.497488,120.82093,WGS84,24.495722,120.829111,851.9660470310479
K2E710,大湖分場,苗栗縣大湖鄉,TWD97,24.42463,120.863657,WGS84,24.422861,120.871833,852.0128224772849
K2F750,種苗繁殖,臺中市新社區,TWD97,24.227737,120.792753,WGS84,24.225972,120.800917,851.9712044392611
82H840,凍頂茶改,南投縣鹿谷鄉,TWD97,23.76429,120.732364,WGS84,23.762528,120.7405,852.0091869150805
82H320,魚池茶改,南投縣魚池鄉,TWD97,23.877382,120.905442,WGS84,23.875611,120.913583,852.0352740786167
U2HA50,臺大竹山,南投縣竹山鎮,TWD97,23.758731,120.67342,WGS84,23.756972,120.681556,851.9673954738397
